  lat     long      exx        eyy        exy      var(exx)   var(eyy)   var(exy)  cc_xx_yy  cc_xx_xy  cc_yy_xy
-63.250  169.500 -0.253E+02  0.302E+03 -0.105E+03  0.000E+00  0.000E+00  0.000E+00   0.000     0.000     0.000
-63.250  170.100 -0.586E+02  0.392E+03 -0.109E+03  0.000E+00  0.000E+00  0.000E+00   0.000     0.000     0.000
-63.250  170.700 -0.241E+03  0.595E+03 -0.106E+03  0.000E+00  0.000E+00  0.000E+00   0.000     0.000     0.000
-63.250  171.300 -0.227E-12  0.692E+03 -0.284E+03  0.000E+00  0.000E+00  0.000E+00   0.000     0.000     0.000
-63.250  171.900 -0.295E+03  0.586E+03 -0.798E+02  0.000E+00  0.000E+00  0.000E+00   0.000     0.000     0.000
-63.250  172.500 -0.145E+03  0.302E+03 -0.272E+02  0.000E+00  0.000E+00  0.000E+00   0.000     0.000     0.000
-63.250  173.100 -0.933E+02  0.808E+02  0.284E+02  0.000E+00  0.000E+00  0.000E+00   0.000     0.000     0.000
-63.250 -167.700  0.357E+03  0.675E+02 -0.138E+03  0.000E+00  0.000E+00  0.000E+00   0.000     0.000     0.000
-63.250 -167.100  0.222E+03  0.316E+03 -0.297E+03  0.000E+00  0.000E+00  0.000E+00   0.000     0.000     0.000
-63.250 -166.500  0.166E+03  0.611E+03 -0.503E+03  0.000E+00  0.000E+00  0.000E+00   0.000     0.000     0.000
-63.250 -165.900  0.759E+03  0.351E+03 -0.529E+03  0.000E+00  0.000E+00  0.000E+00   0.000     0.000     0.000
-63.250 -164.100 -0.297E+02  0.122E+03  0.602E+02  0.000E+00  0.000E+00  0.000E+00   0.000     0.000     0.000
-63.250 -163.500  0.312E+02  0.107E+03 -0.978E+02  0.000E+00  0.000E+00  0.000E+00   0.000     0.000     0.000
-63.250 -161.100 -0.296E+02  0.370E+02 -0.188E+02  0.000E+00  0.000E+00  0.000E+00   0.000     0.000     0.000
-63.250 -160.500  0.294E+02 -0.371E+01  0.381E+01  0.000E+00  0.000E+00  0.000E+00   0.000     0.000     0.000
-63.250 -158.100 -0.589E+02  0.589E+02  0.765E+01  0.000E+00  0.000E+00  0.000E+00   0.000     0.000     0.000
-63.250 -157.500 -0.732E+02  0.140E+03 -0.827E+02  0.000E+00  0.000E+00  0.000E+00   0.000     0.000     0.000
-63.250 -156.900  0.133E+03  0.248E+02 -0.518E+02  0.000E+00  0.000E+00  0.000E+00   0.000     0.000     0.000
-62.750  154.500  0.288E+02  0.428E+02  0.406E+02  0.000E+00  0.000E+00  0.000E+00   0.000     0.000     0.000
-62.750  155.100 -0.350E+02  0.292E+03  0.116E+03  0.000E+00  0.000E+00  0.000E+00   0.000     0.000     0.000
-62.750  155.700 -0.298E+03  0.852E+03  0.207E+03  0.000E+00  0.000E+00  0.000E+00   0.000     0.000     0.000
-62.750  156.300  0.227E-12  0.111E+04 -0.175E+03  0.000E+00  0.000E+00  0.000E+00   0.000     0.000     0.000
-62.750  156.900 -0.398E-12  0.110E+04 -0.180E+03  0.000E+00  0.000E+00  0.000E+00   0.000     0.000     0.000
-62.750  157.500  0.109E+03  0.893E+03 -0.436E+03  0.000E+00  0.000E+00  0.000E+00   0.000     0.000     0.000
-62.750  158.100  0.231E+03  0.195E+03 -0.240E+03  0.000E+00  0.000E+00  0.000E+00   0.000     0.000     0.000
-62.750  165.300 -0.860E+02  0.887E+02  0.348E+02  0.000E+00  0.000E+00  0.000E+00   0.000     0.000     0.000
-62.750  165.900 -0.790E+02  0.264E+03 -0.689E+02  0.000E+00  0.000E+00  0.000E+00   0.000     0.000     0.000
-62.750  166.500 -0.442E+02  0.326E+03 -0.107E+03  0.000E+00  0.000E+00  0.000E+00   0.000     0.000     0.000
-62.750  167.100 -0.577E+02  0.413E+03 -0.112E+03  0.000E+00  0.000E+00  0.000E+00   0.000     0.000     0.000
-62.750  167.700 -0.214E+03  0.498E+03 -0.633E+02  0.000E+00  0.000E+00  0.000E+00   0.000     0.000     0.000
-62.750  168.300 -0.223E+03  0.522E+03 -0.618E+02  0.000E+00  0.000E+00  0.000E+00   0.000     0.000     0.000
-62.750  168.900 -0.637E+02  0.465E+03 -0.118E+03  0.000E+00  0.000E+00  0.000E+00   0.000     0.000     0.000
-62.750  169.500 -0.456E+02  0.384E+03 -0.105E+03  0.000E+00  0.000E+00  0.000E+00   0.000     0.000     0.000
-62.750  170.100 -0.683E+02  0.296E+03 -0.626E+02  0.000E+00  0.000E+00  0.000E+00   0.000     0.000     0.000
-62.750  170.700 -0.112E+03  0.956E+02  0.356E+02  0.000E+00  0.000E+00  0.000E+00   0.000     0.000     0.000
-62.750  171.900  0.196E+02 -0.820E+01  0.154E+02  0.000E+00  0.000E+00  0.000E+00   0.000     0.000     0.000
-62.750  172.500 -0.193E+02 -0.141E+01 -0.236E+02  0.000E+00  0.000E+00  0.000E+00   0.000     0.000     0.000
-62.750 -165.900  0.753E+03  0.350E+03 -0.527E+03  0.000E+00  0.000E+00  0.000E+00   0.000     0.000     0.000
-62.750 -165.300 -0.341E-12  0.700E+03 -0.418E+03  0.000E+00  0.000E+00  0.000E+00   0.000     0.000     0.000
-62.750 -164.700 -0.455E-12  0.698E+03 -0.421E+03  0.000E+00  0.000E+00  0.000E+00   0.000     0.000     0.000
-62.750 -164.100 -0.106E+03  0.575E+03 -0.275E+03  0.000E+00  0.000E+00  0.000E+00   0.000     0.000     0.000
-62.750 -163.500  0.109E+03  0.588E+03 -0.539E+03  0.000E+00  0.000E+00  0.000E+00   0.000     0.000     0.000
-62.750 -162.900  0.161E+03  0.576E+03 -0.557E+03  0.000E+00  0.000E+00  0.000E+00   0.000     0.000     0.000
