lat,long,exx,eyy,exy,var_exx,var_eyy,var_exy,cc_xx_yy,cc_xx_xy,cc_yy_xy
-63.25,-166.5,1.66E+02,6.11E+02,-5.03E+02,0.00E+00,0.00E+00,0.00E+00,0,0,0
-63.25,-165.9,7.59E+02,3.51E+02,-5.29E+02,0.00E+00,0.00E+00,0.00E+00,0,0,0
-63.25,-164.1,-2.97E+01,1.22E+02,6.02E+01,0.00E+00,0.00E+00,0.00E+00,0,0,0
-63.25,-163.5,3.12E+01,1.07E+02,-9.78E+01,0.00E+00,0.00E+00,0.00E+00,0,0,0
-63.25,-161.1,-2.96E+01,3.70E+01,-1.88E+01,0.00E+00,0.00E+00,0.00E+00,0,0,0
-63.25,-160.5,2.94E+01,-3.71E+00,3.81E+00,0.00E+00,0.00E+00,0.00E+00,0,0,0
-63.25,-158.1,-5.89E+01,5.89E+01,7.65E+00,0.00E+00,0.00E+00,0.00E+00,0,0,0
-63.25,-157.5,-7.32E+01,1.40E+02,-8.27E+01,0.00E+00,0.00E+00,0.00E+00,0,0,0
-63.25,-156.9,1.33E+02,2.48E+01,-5.18E+01,0.00E+00,0.00E+00,0.00E+00,0,0,0
-62.75,154.5,2.88E+01,4.28E+01,4.06E+01,0.00E+00,0.00E+00,0.00E+00,0,0,0
-62.75,155.1,-3.50E+01,2.92E+02,1.16E+02,0.00E+00,0.00E+00,0.00E+00,0,0,0
-62.75,155.7,-2.98E+02,8.52E+02,2.07E+02,0.00E+00,0.00E+00,0.00E+00,0,0,0
-62.75,156.3,2.27E-13,1.11E+03,-1.75E+02,0.00E+00,0.00E+00,0.00E+00,0,0,0
-62.75,156.9,-3.98E-13,1.10E+03,-1.80E+02,0.00E+00,0.00E+00,0.00E+00,0,0,0
-62.75,157.5,1.09E+02,8.93E+02,-4.36E+02,0.00E+00,0.00E+00,0.00E+00,0,0,0
-62.75,158.1,2.31E+02,1.95E+02,-2.40E+02,0.00E+00,0.00E+00,0.00E+00,0,0,0
-62.75,165.3,-8.60E+01,8.87E+01,3.48E+01,0.00E+00,0.00E+00,0.00E+00,0,0,0
-62.75,165.9,-7.90E+01,2.64E+02,-6.89E+01,0.00E+00,0.00E+00,0.00E+00,0,0,0
-62.75,166.5,-4.42E+01,3.26E+02,-1.07E+02,0.00E+00,0.00E+00,0.00E+00,0,0,0
-62.75,167.1,-5.77E+01,4.13E+02,-1.12E+02,0.00E+00,0.00E+00,0.00E+00,0,0,0
-62.75,167.7,-2.14E+02,4.98E+02,-6.33E+01,0.00E+00,0.00E+00,0.00E+00,0,0,0
-62.75,168.3,-2.23E+02,5.22E+02,-6.18E+01,0.00E+00,0.00E+00,0.00E+00,0,0,0
-62.75,168.9,-6.37E+01,4.65E+02,-1.18E+02,0.00E+00,0.00E+00,0.00E+00,0,0,0
-62.75,169.5,-4.56E+01,3.84E+02,-1.05E+02,0.00E+00,0.00E+00,0.00E+00,0,0,0
-62.75,170.1,-6.83E+01,2.96E+02,-6.26E+01,0.00E+00,0.00E+00,0.00E+00,0,0,0
-62.75,170.7,-1.12E+02,9.56E+01,3.56E+01,0.00E+00,0.00E+00,0.00E+00,0,0,0
